10355 64
1053.65002441 3177.64990234 116.28199768
1055.07995605 3177.32006836 116.70300293
1055.11999512 3177.51000977 116.70200348
1055.13000488 3177.55004883 116.70099640
1055.10998535 3177.39990234 116.70300293
1055.13000488 3177.47998047 116.70200348
1055.14001465 3177.43994141 116.70300293
1055.18005371 3177.35009766 116.70700073
1055.32995605 3177.33007812 116.63300323
1056.25000000 3177.01000977 116.18900299
1056.26000977 3176.95996094 116.19100189
1056.27001953 3176.98999023 116.19100189
1056.51000977 3176.85009766 116.14600372
1056.53002930 3176.88989258 116.14700317
1056.64001465 3176.85009766 116.08300018
1056.64001465 3176.80004883 116.08499908
1056.65002441 3176.82006836 116.08599854
1056.81994629 3176.92993164 115.69999695
1056.82995605 3176.88989258 115.70099640
1056.78002930 3176.70996094 116.03299713
1056.79003906 3176.75000000 116.03299713
1056.80004883 3176.77001953 116.03299713
1056.81994629 3176.80004883 116.03399658
1056.88000488 3176.87988281 115.76000214
1056.83996582 3176.71997070 115.97399902
1057.05004883 3177.06005859 115.72799683
1057.04003906 3176.94995117 115.73000336
1057.04003906 3176.91992188 115.73100281
1057.06005859 3177.09008789 115.72899628
1057.06005859 3177.02001953 115.73100281
1057.06005859 3176.97998047 115.73200226
1055.08996582 3177.28002930 116.70400238
1056.84997559 3176.91992188 115.75599670
1055.06994629 3177.26000977 116.70400238
1054.15002441 3177.44995117 116.73600006
1055.06005859 3177.21997070 116.70400238
1053.63000488 3177.48999023 116.28399658
1053.64001465 3177.54003906 116.28299713
1053.61999512 3177.37988281 116.28500366
1053.63000488 3177.39990234 116.28500366
1053.68005371 3177.58007812 116.28500366
1053.66003418 3177.43994141 116.28600311
1053.81994629 3177.53002930 116.20099640
1053.82995605 3177.57006836 116.20099640
1053.83996582 3177.63989258 116.20099640
1053.83996582 3177.59008789 116.20099640
1054.02001953 3177.36010742 116.73200226
1054.08996582 3177.37011719 116.73400116
1054.13000488 3177.40991211 116.73600006
1053.66003418 3177.62988281 116.28299713
1054.19995117 3177.48999023 116.73799896
1054.56994629 3176.94995117 116.52400208
1055.05004883 3177.17993164 116.70400238
1054.23999023 3177.67993164 116.73600006
1055.03002930 3177.14990234 116.70300293
1054.98999023 3177.11010742 116.70200348
1054.95996094 3177.05004883 116.70200348
1054.92004395 3177.01000977 116.69999695
1054.97998047 3177.07006836 116.70200348
1054.52001953 3176.96997070 116.52100372
1054.25000000 3177.63989258 116.73699951
1054.23999023 3177.57006836 116.73799896
1054.25000000 3177.62011719 116.73699951
1054.22998047 3177.53002930 116.73799896
10354 95
1055.93994141 3177.10009766 116.26999664
1055.29003906 3177.65991211 116.69599915
1055.93994141 3177.06005859 116.27100372
1055.44995117 3177.26000977 116.56700134
1055.35998535 3177.67993164 116.63600159
1055.35998535 3177.71997070 116.63500214
1055.28002930 3177.34008789 116.70099640
1055.29003906 3177.54003906 116.69799805
1055.27001953 3177.44995117 116.69799805
1055.29003906 3177.62011719 116.69699860
1055.18994141 3176.70996094 116.55899811
1055.23999023 3177.37988281 116.69799805
1055.27001953 3177.53002930 116.69699860
1055.26000977 3177.48999023 116.69699860
1055.27001953 3177.58007812 116.69599915
1055.18005371 3176.64990234 116.50099945
1055.25000000 3177.41992188 116.69799805
1055.22998047 3177.32006836 116.69899750
1055.20996094 3177.25000000 116.69899750
1055.20996094 3177.29003906 116.69799805
1056.21997070 3176.98999023 116.23200226
1055.27001953 3177.73999023 116.69300079
1056.20996094 3177.03002930 116.23000336
1056.78002930 3176.77001953 115.97599792
1056.21997070 3176.95996094 116.23200226
1056.75000000 3176.73999023 115.97299957
1055.15002441 3176.72998047 116.49700165
1057.04003906 3177.38989258 115.67400360
1056.98999023 3177.42993164 115.66600037
1056.89001465 3176.86010742 115.79900360
1056.82995605 3176.79003906 116.05400085
1056.81994629 3176.76000977 116.05300140
1056.81005859 3176.72998047 116.05300140
1056.79003906 3176.70996094 116.05200195
1056.78002930 3176.81005859 115.97499847
1056.75000000 3176.85009766 115.77899933
1056.38000488 3176.90991211 116.17900085
1056.65002441 3176.80004883 116.08599854
1056.66003418 3176.84008789 116.08499908
1056.65002441 3176.79003906 116.08599854
1056.57995605 3176.83007812 116.13800049
1056.57995605 3176.79003906 116.13800049
1056.57995605 3176.86010742 116.13600159
1056.39001465 3176.92993164 116.17900085
1056.39001465 3176.95996094 116.17900085
1056.38000488 3176.87988281 116.18000031
1055.19995117 3177.20996094 116.69899750
1055.27001953 3177.69995117 116.69400024
1055.17004395 3177.17993164 116.69799805
1054.70996094 3177.18994141 116.75199890
1054.78002930 3177.81005859 116.74500275
